bank,theme,count
com.boa.boaMobileBanking,Customer Support,1
com.boa.boaMobileBanking,Features / Requests,1
com.boa.boaMobileBanking,Other,37
com.boa.boaMobileBanking,Transaction Performance,1
com.combanketh.mobilebanking,Customer Support,1
com.combanketh.mobilebanking,Features / Requests,1
com.combanketh.mobilebanking,Other,36
com.combanketh.mobilebanking,Transaction Performance,1
com.combanketh.mobilebanking,UI/UX,1
com.dashen.dashensuperapp,Other,38
com.dashen.dashensuperapp,Transaction Performance,1
com.dashen.dashensuperapp,UI/UX,1
